buyer_naics4,supplier_naics4,coefficient
525,5239,0.654315762424279
525,5231,0.654315762424279
525,5232,0.654315762424279
3241,211,0.6129206154111546
5241,5242,0.3811863227922061
5242,5241,0.3811863227922061
3362,3363,0.3446557024744053
3362,3361,0.3446557024744053
3361,3362,0.3446557024744053
3363,3361,0.3446557024744053
3363,3362,0.3446557024744053
3361,3363,0.3446557024744053
3313,3312,0.3228671180422138
3313,3311,0.3228671180422138
3311,3312,0.3228671180422138
3312,3315,0.3228671180422138
3312,3314,0.3228671180422138
3312,3313,0.3228671180422138
3312,3311,0.3228671180422138
3311,3315,0.3228671180422138
3311,3314,0.3228671180422138
3311,3313,0.3228671180422138
3314,3313,0.3228671180422138
3315,3312,0.3228671180422138
3314,3315,0.3228671180422138
3314,3311,0.3228671180422138
3313,3315,0.3228671180422138
3313,3314,0.3228671180422138
3314,3312,0.3228671180422138
3315,3314,0.3228671180422138
3315,3311,0.3228671180422138
3315,3313,0.3228671180422138
3262,3251,0.30755001278067023
3262,3252,0.30755001278067023
3262,3259,0.30755001278067023
3261,3252,0.30755001278067023
3261,3251,0.30755001278067023
3261,3253,0.30755001278067023
3262,3253,0.30755001278067023
3262,3254,0.30755001278067023
3262,3255,0.30755001278067023
3262,3256,0.30755001278067023
3261,3259,0.30755001278067023
3261,3254,0.30755001278067023
3261,3255,0.30755001278067023
3261,3256,0.30755001278067023
3114,1119,0.3048407582624592
3114,1121,0.3048407582624592
3114,1122,0.3048407582624592
3114,1114,0.3048407582624592
3113,1113,0.3048407582624592
3113,1114,0.3048407582624592
3112,1123,0.3048407582624592
3113,1111,0.3048407582624592
3116,1111,0.3048407582624592
3116,1122,0.3048407582624592
3116,1121,0.3048407582624592
3116,1124,0.3048407582624592
3116,1123,0.3048407582624592
3116,1119,0.3048407582624592
3116,1129,0.3048407582624592
3111,1111,0.3048407582624592
3112,1113,0.3048407582624592
3112,1114,0.3048407582624592
3115,1113,0.3048407582624592
3115,1114,0.3048407582624592
3115,1125,0.3048407582624592
3115,1129,0.3048407582624592
3112,1111,0.3048407582624592
3112,1112,0.3048407582624592
3111,1125,0.3048407582624592
3111,1124,0.3048407582624592
3111,1129,0.3048407582624592
3115,1111,0.3048407582624592
3115,1112,0.3048407582624592
