bea_code,naics4
111CA,1111
111CA,1112
111CA,1113
111CA,1114
111CA,1119
111CA,1121
111CA,1122
111CA,1124
111CA,1125
111CA,1129
111CA,1123
113FF,113
113FF,114
113FF,115
211,211
212,2121
212,2122
212,2123
213,2131
22,2211
22,2212
22,2213
23,23
321,3211
321,3212
321,3219
327,3271
327,3272
327,3273
327,3274
327,3279
331,3311
331,3312
331,3313
331,3314
331,3315
332,3321
332,3322
332,3323
332,3324
332,3325
332,3326
332,3327
332,3328
332,3329
333,3331
333,3332
333,3333
333,3334
333,3335
333,3336
333,3339
334,3341
334,3342
334,3344
334,3345
334,3343
334,3346
335,3351
335,3352
335,3353
335,3359
3361MV,3361
3361MV,3362
3361MV,3363
3364OT,3364
3364OT,3365
3364OT,3366
3364OT,3369
337,3371
337,3372
337,3379
339,3391
339,3399
311FT,3111
311FT,3112
311FT,3113
311FT,3114
311FT,3115
311FT,3116
311FT,3117
311FT,3118
311FT,3119
311FT,3121
311FT,3122
313TT,3131
313TT,3132
313TT,3133
313TT,3141
313TT,3149
315AL,315
315AL,316
322,3221
322,3222
323,3231
324,3241
325,3251
325,3252
325,3254
325,3253
325,3255
325,3256
325,3259
326,3261
326,3262
42,4231
42,4234
42,4236
42,4238
42,4232
42,4233
42,4235
42,4237
42,4239
42,4242
42,4244
42,4247
42,4241
42,4243
42,4245
42,4246
42,4248
42,4249
42,425
441,441
445,445
452,452
4A0,444
4A0,446
4A0,447
4A0,448
4A0,454
4A0,442
4A0,443
4A0,451
4A0,453
481,481
482,482
483,483
484,484
485,485
486,486
487OS,487
487OS,488
487OS,492
493,493
511,5111
511,5112
512,5121
512,5122
513,5151
513,5152
513,5173
513,5174
513,5179
514,5182
514,5191
521CI,521
521CI,5221
521CI,5222
521CI,5223
523,5231
523,5232
523,5239
524,5241
524,5242
525,525
HS,531
ORE,531
532RL,5321
532RL,5322
532RL,5323
532RL,5324
532RL,533
5411,5411
5415,5415
5412OP,5412
5412OP,5413
5412OP,5416
5412OP,5417
5412OP,5418
5412OP,5414
5412OP,5419
55,55
561,5613
561,5617
561,5611
561,5612
561,5614
561,5615
561,5616
561,5619
562,562
61,6111
61,6112
61,6113
61,6114
61,6115
61,6116
61,6117
621,6211
621,6212
621,6213
621,6214
621,6215
621,6216
621,6219
622,622
623,6231
623,6233
623,6232
623,6239
624,6241
624,6242
624,6243
624,6244
711AS,7111
711AS,7112
711AS,7113
711AS,7114
711AS,7115
711AS,712
713,7131
713,7132
713,7139
721,721
722,7225
722,7223
722,7224
81,8111
81,8112
81,8113
81,8114
81,8121
81,8122
81,8123
81,8129
81,8131
81,8132
81,8133
81,8134
81,8139
81,814
GFE,491
